metric,profile,baseline,topology,load_tps,n_pairs,baseline_mean,profile_mean,delta_improvement_ms,delta_improvement_pct,ci_low,ci_high,ci_halfwidth_rel,p_value,significant,holm_p,holm_reject
p99_ms,C3,C0,T2_three_region_emulated,50,3,2261.333333,828.000000,1433.333333,63.384434,1325.000000,1500.000000,0.038694,0.000100,True,0.006000,True
p99_ms,C3,C0,T2_three_region_emulated,100,3,2178.000000,778.000000,1400.000000,64.279155,1350.000000,1450.000000,0.022957,0.000100,True,0.006000,True
p99_ms,C3,C0,T2_three_region_emulated,200,3,7494.666667,811.333333,6683.333333,89.174524,6650.000000,6725.000000,0.005004,0.000100,True,0.006000,True
p99_ms,C3,C0,T2_three_region_emulated,400,3,29544.666667,778.000000,28766.666667,97.366699,28600.000000,29075.000000,0.008039,0.000100,True,0.006000,True
p99_ms,C4,C0,T0_local,25,3,2026.400000,284.733333,1741.666667,85.948809,1725.000000,1750.000000,0.006169,0.000100,True,0.006000,True
p99_ms,C4,C0,T0_local,50,3,2001.400000,276.400000,1725.000000,86.189667,1725.000000,1725.000000,0.000000,0.000100,True,0.006000,True
p99_ms,C4,C0,T0_local,100,3,2026.400000,276.400000,1750.000000,86.360047,1750.000000,1750.000000,0.000000,0.000100,True,0.006000,True
p99_ms,C4,C0,T0_local,200,3,7368.066667,276.400000,7091.666667,96.248677,7075.000000,7100.000000,0.001697,0.000100,True,0.006000,True
p99_ms,C4,C0,T0_local,400,3,29851.400000,276.400000,29575.000000,99.074080,29550.000000,29600.000000,0.000837,0.000100,True,0.006000,True
p99_ms,C4,C0,T1_vpn,25,3,2063.133333,388.133333,1675.000000,81.187191,1550.000000,1750.000000,0.048470,0.000100,True,0.006000,True
p99_ms,C4,C0,T1_vpn,50,3,2054.800000,329.800000,1725.000000,83.949776,1725.000000,1725.000000,0.000000,0.000100,True,0.006000,True
p99_ms,C4,C0,T1_vpn,100,3,2054.800000,329.800000,1725.000000,83.949776,1725.000000,1725.000000,0.000000,0.000100,True,0.006000,True
p99_ms,C4,C0,T1_vpn,200,3,7396.466667,329.800000,7066.666667,95.541114,7050.000000,7075.000000,0.001690,0.000100,True,0.006000,True
p99_ms,C4,C0,T1_vpn,400,3,29838.133333,346.466667,29491.666667,98.838846,29450.000000,29525.000000,0.001257,0.000100,True,0.006000,True
p99_ms,C4,C0,T2_three_region_emulated,25,3,2186.333333,544.666667,1641.666667,75.087666,1625.000000,1650.000000,0.005717,0.000100,True,0.006000,True
p99_ms,C4,C0,T2_three_region_emulated,50,3,2261.333333,611.333333,1650.000000,72.965802,1525.000000,1725.000000,0.044222,0.000100,True,0.006000,True
p99_ms,C4,C0,T2_three_region_emulated,100,3,2178.000000,586.333333,1591.666667,73.079278,1550.000000,1650.000000,0.022957,0.000100,True,0.006000,True
p99_ms,C4,C0,T2_three_region_emulated,200,3,7494.666667,603.000000,6891.666667,91.954279,6800.000000,6975.000000,0.011675,0.000100,True,0.006000,True
p99_ms,C4,C0,T2_three_region_emulated,400,3,29544.666667,686.333333,28858.333333,97.676964,28525.000000,29300.000000,0.013116,0.000100,True,0.006000,True
all_p99_ms,C1,C0,T0_local,25,3,2026.400000,1026.400000,1000.000000,49.348598,1000.000000,1000.000000,0.000000,0.000100,True,,
all_p99_ms,C1,C0,T0_local,50,3,2001.400000,1026.400000,975.000000,48.715899,975.000000,975.000000,0.000000,0.000100,True,,
all_p99_ms,C1,C0,T0_local,100,3,2026.400000,1026.400000,1000.000000,49.348598,1000.000000,1000.000000,0.000000,0.000100,True,,
all_p99_ms,C1,C0,T0_local,200,3,7368.066667,1026.400000,6341.666667,86.069616,6325.000000,6350.000000,0.001697,0.000100,True,,
all_p99_ms,C1,C0,T0_local,400,3,29851.400000,6409.733333,23441.666667,78.527864,23400.000000,23475.000000,0.001256,0.000100,True,,
all_p99_ms,C1,C0,T1_vpn,25,3,2071.466667,1071.466667,1000.000000,48.274974,975.000000,1050.000000,0.018103,0.000100,True,,
all_p99_ms,C1,C0,T1_vpn,50,3,2063.133333,1079.800000,983.333333,47.662132,975.000000,1000.000000,0.006059,0.000100,True,,
