scenario,arm,metric,n,n_missing,mean,sd,median,q1,q3,ci_lo,ci_hi
S2,A3,t_service_restore,3,51,577.8333333333334,236.02136202753624,454.0,441.75,652.0,429.5,850.0
S2,A3,nri,54,0,0.9056651147911805,0.017074898796658418,0.9016779918339792,0.9016041529772966,0.9017629570626917,0.9016738855565241,0.9109490257829024
S2,A3,fp_rate_holdout,54,0,0.018850308641975275,0.002891213267593382,0.01854166666666665,0.0170833333333333,0.0208333333333333,0.018086419753086377,0.01961419753086417
S2,A3,blast_recall,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2,A3,whatif_abs_err,54,0,0.0203368064450883,0.002452466593190238,0.02036325461755545,0.0191185962995443,0.02165482134250775,0.01969848161296198,0.020999641843464634
S2,A3,orchestrator_cpu_s,54,0,0.00038185088888877957,4.6044706567786574e-05,0.00037898350000005,0.000348388000001325,0.00041455974999995,0.000369952521296097,0.00039446034074052766
S2,A3,availability_below_amin,54,0,0.7266628086419755,0.07316670394608303,0.7414583333333333,0.7414583333333333,0.741875,0.7051620370370372,0.7416358024691357
S2,A3,action_regret,54,0,0.04425604149804963,0.011881131655731928,0.042675758010356404,0.0369000434876693,0.051611091406052224,0.0411138084033745,0.04742652128979131
S2,A3,detected,54,0,0.05555555555555555,,,,,0.0190732684546909,0.15107214318166143
S2,A3,contained,54,0,0.05555555555555555,,,,,0.0190732684546909,0.15107214318166143
S2,A3,recovered,54,0,0.05555555555555555,,,,,0.0190732684546909,0.15107214318166143
S2,A3,policy_violation,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A3,unsafe_action,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A3,rollback,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A3,action_optimal,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A3,censored_restore,54,0,0.9444444444444444,,,,,0.8489278568183386,0.9809267315453091
S2,A4,detection_latency,54,0,123.36111111111111,99.93759452149196,96.0,54.25,181.0,98.43518518518519,150.66689814814814
S2,A4,containment_latency,54,0,140.36211111111112,99.93759452149196,113.00099999999998,71.25099999999998,198.001,115.08433333333333,168.39937962962964
S2,A4,t_service_restore,54,0,160.80555555555554,100.14943629993614,133.0,92.125,216.75,135.16643518518518,187.71342592592592
S2,A4,nri,54,0,0.9898084196689799,0.0005116296101729507,0.9897869790180674,0.9897304080198811,0.9899052752104708,0.9896656270166386,0.9899311962307404
S2,A4,fp_rate_holdout,54,0,0.018850308641975275,0.002891213267593382,0.01854166666666665,0.0170833333333333,0.0208333333333333,0.018070987654320952,0.019598765432098732
S2,A4,blast_recall,54,0,0.16049382716049376,0.03177097951549769,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.15123456790123452,0.16666666666666657
S2,A4,whatif_abs_err,0,54,,,,,,,
S2,A4,orchestrator_cpu_s,54,0,7.717492592594305e-05,1.7580136069517305e-05,7.213099999980876e-05,6.940774999997235e-05,7.600100000049181e-05,7.317294074067908e-05,8.238330462975465e-05
S2,A4,availability_below_amin,54,0,0.12383487654320983,0.08334753729693849,0.10020833333333329,0.06718749999999996,0.17135416666666664,0.10277006172839503,0.14658950617283947
S2,A4,action_regret,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2,A4,detected,54,0,1.0,,,,,0.9335864119091037,1.0
S2,A4,contained,54,0,1.0,,,,,0.9335864119091037,1.0
S2,A4,recovered,54,0,1.0,,,,,0.9335864119091037,1.0
S2,A4,policy_violation,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A4,unsafe_action,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A4,rollback,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A4,action_optimal,54,0,1.0,,,,,0.9335864119091037,1.0
S2,A4,censored_restore,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A5,detection_latency,54,0,100.28703703703704,97.06798832309723,74.25,23.5,160.125,76.05439814814815,127.13912037037036
