t_rel_s,mean,sd,ci95_lo,ci95_hi,n,scenario,method
394.0,0.9978545000000001,0.0026671421231841304,0.9966062390623806,0.9991027609376196,20,S2,framework
395.0,0.9986195,0.0015445063084500886,0.9978966487968389,0.9993423512031611,20,S2,framework
396.0,0.998661,0.0016644515455153455,0.997882012697911,0.999439987302089,20,S2,framework
397.0,0.9978309999999999,0.002477672719562278,0.9966714134728512,0.9989905865271487,20,S2,framework
398.0,0.9982665000000003,0.0017562917723071218,0.9974445301486837,0.9990884698513168,20,S2,framework
399.0,0.9984935000000001,0.0016845967032591495,0.9977050844738674,0.9992819155261329,20,S2,framework
400.0,0.998804,0.0013002566548266695,0.9981954611534978,0.9994125388465023,20,S2,framework
401.0,0.9989899999999998,0.0013516539575840517,0.998357406475356,0.9996225935246437,20,S2,framework
402.0,0.9985149999999999,0.0017854986035160817,0.9976793609309118,0.999350639069088,20,S2,framework
403.0,0.998287,0.0013975320352226962,0.9976329348740824,0.9989410651259176,20,S2,framework
404.0,0.9981444999999999,0.0019527240756925907,0.9972305970008127,0.999058402999187,20,S2,framework
405.0,0.9982259999999998,0.0017361736512712072,0.9974134457191582,0.9990385542808414,20,S2,framework
406.0,0.9987515000000002,0.0017096884142100777,0.9979513411916607,0.9995516588083397,20,S2,framework
407.0,0.998456,0.0016704313971640822,0.997674214041191,0.999237785958809,20,S2,framework
408.0,0.9977214999999999,0.0020949997487752685,0.996741009936127,0.9987019900638728,20,S2,framework
409.0,0.9982925,0.001648373600345441,0.9975210374078761,0.9990639625921239,20,S2,framework
410.0,0.9985440000000001,0.0016211282620771357,0.9977852886186935,0.9993027113813067,20,S2,framework
411.0,0.998638,0.0014944197958792558,0.9979385900062894,0.9993374099937107,20,S2,framework
412.0,0.9978995000000003,0.001993609461306427,0.9969664620513338,0.9988325379486668,20,S2,framework
413.0,0.9987,0.0016130291869320692,0.99794507910254,0.99945492089746,20,S2,framework
414.0,0.9988110000000001,0.0013357469820291666,0.9981858511690785,0.9994361488309217,20,S2,framework
415.0,0.998841,0.0016298882751506745,0.9980781888063746,0.9996038111936254,20,S2,framework
416.0,0.9977520000000002,0.002187468135106279,0.9967282333991859,0.9987757666008145,20,S2,framework
417.0,0.9984795,0.002584324150680299,0.9972699990666226,0.9996890009333773,20,S2,framework
418.0,0.998479,0.0015168384710866282,0.9977690977433195,0.9991889022566806,20,S2,framework
419.0,0.9987245,0.0012454019642796318,0.9981416339389335,0.9993073660610665,20,S2,framework
420.0,0.9986115,0.001405171931791537,0.9979538592924246,0.9992691407075753,20,S2,framework
421.0,0.999284,0.001350459570898575,0.9986519654655317,0.9999160345344682,20,S2,framework
422.0,0.998242,0.001760611735792572,0.9974180083435371,0.9990659916564628,20,S2,framework
423.0,0.9987680000000001,0.0013846778078596387,0.9981199508376718,0.9994160491623284,20,S2,framework
424.0,0.9987214999999999,0.001658862244843854,0.9979451285711469,0.9994978714288529,20,S2,framework
425.0,0.9975840000000001,0.0017888908648421725,0.9967467733037411,0.9984212266962592,20,S2,framework
426.0,0.9988530000000001,0.0014709685316323488,0.9981645655358058,0.9995414344641944,20,S2,framework
427.0,0.9983545000000001,0.0025530919850664416,0.9971596161700739,0.9995493838299264,20,S2,framework
428.0,0.9982524999999999,0.001568052345393715,0.9975186289123351,0.9989863710876646,20,S2,framework
429.0,0.9982469999999999,0.0016837773949633203,0.9974589679219529,0.9990350320780469,20,S2,framework
430.0,0.9984695,0.0015874689387761053,0.9977265416669087,0.9992124583330914,20,S2,framework
431.0,0.9991,0.0014740634850286328,0.9984101170530291,0.9997898829469709,20,S2,framework
432.0,0.9989700000000001,0.0013998345766930024,0.998314857251503,0.9996251427484972,20,S2,framework
433.0,0.9982655000000001,0.0019086960966779678,0.9973722027292774,0.9991587972707229,20,S2,framework
434.0,0.998273,0.001765055836301825,0.9974469284404751,0.9990990715595248,20,S2,framework
435.0,0.9983245000000001,0.0015716416994910013,0.997588949042908,0.9990600509570922,20,S2,framework
436.0,0.9988835,0.0016124916156452771,0.9981288306936467,0.9996381693063534,20,S2,framework
437.0,0.998108,0.0021581439393974305,0.9970979575452341,0.9991180424547659,20,S2,framework
438.0,0.9989590000000002,0.0011129850805260974,0.9984381069481835,0.9994798930518168,20,S2,framework
